station_origin,station_destination,flows,population,jobs,distance
Bow Road,Mile End,7,4005,3759,624.9321659
Mile End,Bow Road,3,7145,1193,624.9321659
Beckton Park,Cyprus,0,293,850,628.1101329
Cyprus,Beckton Park,0,500,88,628.1101329
Finchley Road & Frognal,West Hampstead,82,1136,5856,630.6575296
West Hampstead,Finchley Road & Frognal,13,10371,1529,630.6575296
Covent Garden,Holborn,3,424,22346,632.9405713
Holborn,Covent Garden,6,1662,4355,632.9405713
Cutty Sark,Greenwich,33,2122,1189,633.6424322
Greenwich,Cutty Sark,30,1374,1748,633.6424322
Notting Hill Gate,Queensway,4,4945,1882,638.3229309
Queensway,Notting Hill Gate,14,2714,5490,638.3229309
Bow Church,Devons Road,16,1663,611,638.4852455
Devons Road,Bow Church,59,1387,925,638.4852455
Clapham Common,Clapham North,2,4909,1238,642.7574914
Clapham North,Clapham Common,7,2846,2020,642.7574914
Goodge Street,Tottenham Court Road,2,366,19126,644.47237
Tottenham Court Road,Goodge Street,1,1773,6457,644.47237
Finchley Road,Swiss Cottage,9,4738,2598,645.3527442
Swiss Cottage,Finchley Road,11,3531,3417,645.3527442
Heron Quays,South Quay,150,1788,4591,651.6418491
South Quay,Heron Quays,66,1677,5975,651.6418491
Abbey Road,Stratford High Street,10,599,788,655.2113013
Stratford High Street,Abbey Road,3,379,345,655.2113013
Southwark,Waterloo,68,4882,23466,656.4269295
Waterloo,Southwark,109,67372,10326,656.4269295
Ladbroke Grove,Latimer Road,8,2371,1109,659.5805348
Latimer Road,Ladbroke Grove,13,861,2131,659.5805348
Blackfriars,Mansion House,219,6781,7815,660.2642961
Mansion House,Blackfriars,13,516,10849,660.2642961
Beckton Park,Royal Albert,0,293,684,666.2264935
Arsenal,Holloway Road,7,2158,1696,666.7091359
Holloway Road,Arsenal,3,3047,315,666.7091359
Heron Quays,West India Quay,4,1788,400,678.8162036
West India Quay,Heron Quays,3,162,5975,678.8162036
Ruislip,Ruislip Manor,8,1305,408,678.8859802
Ruislip Manor,Ruislip,4,1399,257,678.8859802
Anerley,Penge West,2,643,150,682.1023246
Poplar,Westferry,4,2271,1250,682.5134447
Westferry,Poplar,3,2205,1301,682.5134447
Bond Street,Marble Arch,4,2038,6145,683.4362348
Marble Arch,Bond Street,5,1808,20967,683.4362348
Holland Park,Notting Hill Gate,2,1542,5490,699.733463
Notting Hill Gate,Holland Park,2,4945,2063,699.733463
Fulham Broadway,Parsons Green,12,3289,2711,702.3383314
Parsons Green,Fulham Broadway,6,4361,4200,702.3383314
Holborn,Russell Square,3,1662,5172,706.4343152
Russell Square,Holborn,15,1509,22346,706.4343152
Barbican,Moorgate,14,1239,24574,707.2883662
Moorgate,Barbican,92,4416,9134,707.2883662
Ravenscourt Park,Stamford Brook,1,1554,784,709.2895542
Stamford Brook,Ravenscourt Park,1,1837,1895,709.2895542
Aldgate,Liverpool Street,67,2886,61122,722.084082
Liverpool Street,Aldgate,384,31473,7782,722.084082
Blackwall,Poplar,0,952,1301,722.9585575
Poplar,Blackwall,7,2271,665,722.9585575
Deptford Bridge,Elverson Road,6,2486,226,727.50045
Elverson Road,Deptford Bridge,33,1151,840,727.50045
Covent Garden,Piccadilly Circus,8,424,13641,740.2227049
Piccadilly Circus,Covent Garden,10,1037,4355,740.2227049
Cyprus,Gallions Reach,0,500,557,741.7738805
Gallions Reach,Cyprus,0,636,850,741.7738805
Brondesbury,Brondesbury Park,29,1977,895,742.1886718
Brondesbury Park,Brondesbury,25,691,712,742.1886718
Hounslow Central,Hounslow East,2,2213,843,745.6843834
Hounslow East,Hounslow Central,5,2173,708,745.6843834
Bayswater,Notting Hill Gate,20,1571,5490,750.0482411
Notting Hill Gate,Bayswater,3,4945,615,750.0482411
Gloucester Road,South Kensington,20,4779,15325,751.3334794
South Kensington,Gloucester Road,10,5030,5194,751.3334794
All Saints,Poplar,3,740,1301,751.9819427
Poplar,All Saints,13,2271,444,751.9819427
Blackfriars,Temple,219,6781,6780,752.0407994
Temple,Blackfriars,10,349,10849,752.0407994
Embankment,Westminster,59,4081,15466,753.7645436
Westminster,Embankment,5,1519,10220,753.7645436
Finchley Road,West Hampstead,52,4738,5856,755.7345247
West Hampstead,Finchley Road,164,10371,3417,755.7345247
Pontoon Dock,West Silvertown,1,2012,893,756.0458899
West Silvertown,Pontoon Dock,3,899,1123,756.0458899
Kentish Town,Tufnell Park,13,2414,557,764.6010082
Tufnell Park,Kentish Town,71,2742,3404,764.6010082
Embankment,Waterloo,52,4081,23466,769.4283321
Waterloo,Embankment,465,67372,10220,769.4283321
Arsenal,Finsbury Park,29,2158,6769,772.7526932
Finsbury Park,Arsenal,8,24735,315,772.7526932
Bank and Monument,Moorgate,732,29494,24574,776.8294614
Moorgate,Bank and Monument,700,4416,78549,776.8294614
St. James's Park,Victoria,17,1809,33251,777.3055963
Victoria,St. James's Park,202,37517,13339,777.3055963
Green Park,Piccadilly Circus,7,2066,13641,777.6260868
Piccadilly Circus,Green Park,8,1037,26754,777.6260868
Green Park,Hyde Park Corner,5,2066,2410,779.8893003
Hyde Park Corner,Green Park,8,259,26754,779.8893003
Rectory Road,Stoke Newington,0,953,479,783.2557143
Stoke Newington,Rectory Road,0,1096,219,783.2557143
Euston,Mornington Crescent,37,17796,2927,783.3885974
Mornington Crescent,Euston,9,691,16800,783.3885974
Deptford Bridge,Greenwich,401,2486,1189,784.8639109
Greenwich,Deptford Bridge,46,1374,840,784.8639109
Dollis Hill,Neasden,6,2542,732,785.5830138
Neasden,Dollis Hill,10,2333,847,785.5830138
Maida Vale,Warwick Avenue,6,2142,1174,787.61257
Warwick Avenue,Maida Vale,9,2388,949,787.61257
Edgware Road,Paddington,35,2841,20198,788.6312768
Paddington,Edgware Road,55,23381,6868,788.6312768
Embankment,Temple,70,4081,6780,794.5940026
Temple,Embankment,3,349,10220,794.5940026
Baker Street,Regent's Park,2,7444,3364,795.5400496
Regent's Park,Baker Street,1,371,14973,795.5400496
Holborn,Tottenham Court Road,14,1662,19126,797.0616576
Tottenham Court Road,Holborn,11,1773,22346,797.0616576
Cutty Sark,Island Gardens,22,2122,691,797.6025386
Island Gardens,Cutty Sark,30,1413,1748,797.6025386
Embankment,Leicester Square,6,4081,8847,802.4056373
Leicester Square,Embankment,2,985,10220,802.4056373
Ladbroke Grove,Westbourne Park,5,2371,1347,805.9399274
Westbourne Park,Ladbroke Grove,17,2416,2131,805.9399274
Dalston Junction,Haggerston,15,3912,1184,808.0082953
Haggerston,Dalston Junction,18,2049,1289,808.0082953
Kilburn Park,Queen's Park,39,1886,2167,809.8309509
Queen's Park,Kilburn Park,34,5249,823,809.8309509
Caledonian Road & Barnsbury,Highbury & Islington,44,543,25385,813.600025
Highbury & Islington,Caledonian Road & Barnsbury,113,23714,1668,813.600025
Borough,Elephant & Castle,4,1346,6427,821.1401522
Elephant & Castle,Borough,9,9325,3254,821.1401522
Pimlico,Vauxhall,126,3917,16242,825.3282533
Vauxhall,Pimlico,85,16218,5585,825.3282533
Baker Street,Great Portland Street,31,7444,6936,826.8194453
Great Portland Street,Baker Street,10,1136,14973,826.8194453
Charing Cross,Covent Garden,2,6491,4355,827.6061159
Covent Garden,Charing Cross,0,424,7016,827.6061159
Bethnal Green,Cambridge Heath,0,6798,458,831.8715882
Cambridge Heath,Bethnal Green,1,328,4660,831.8715882
Haggerston,Hoxton,4,2049,2181,834.578638
Hoxton,Haggerston,2,1041,1184,834.578638
Aldgate East,Tower Hill,25,3172,8286,839.2339844
Tower Hill,Aldgate East,24,8501,7932,839.2339844
Elephant & Castle,Kennington,1,9325,1161,839.5683892
Kennington,Elephant & Castle,2,3583,6427,839.5683892
Bank and Monument,Tower Hill,86,29494,8286,839.7304433
Tower Hill,Bank and Monument,75,8501,78549,839.7304433
Hammersmith,Ravenscourt Park,23,11818,1895,840.1029183
Ravenscourt Park,Hammersmith,29,1554,18250,840.1029183
Bank and Monument,Liverpool Street,1138,29494,61122,841.5026838
Liverpool Street,Bank and Monument,812,31473,78549,841.5026838
Brondesbury,West Hampstead,182,1977,5856,849.2312354
West Hampstead,Brondesbury,32,10371,712,849.2312354
Bank and Monument,St. Paul's,402,29494,13446,849.5248409
St. Paul's,Bank and Monument,40,878,78549,849.5248409
Waterloo,Westminster,717,67372,15466,850.3600264
Westminster,Waterloo,15,1519,23466,850.3600264
Kilburn Park,Maida Vale,5,1886,949,851.7815229
Maida Vale,Kilburn Park,2,2142,823,851.7815229
Devons Road,Langdon Park,54,1387,1989,852.3487963
Langdon Park,Devons Road,11,1468,611,852.3487963
Moorgate,Old Street,19,4416,15897,853.5197187
Old Street,Moorgate,152,5364,24574,853.5197187
Lancaster Gate,Queensway,6,3514,1882,858.1496215
Queensway,Lancaster Gate,3,2714,1820,858.1496215
Shadwell,Wapping,38,6741,1066,858.7781938
Wapping,Shadwell,36,1251,7447,858.7781938
Euston,King's Cross St. Pancras,169,17796,33330,863.3696738
King's Cross St. Pancras,Euston,156,28307,16800,863.3696738
Star Lane,West Ham,86,438,5487,863.6516633
West Ham,Star Lane,255,8879,1052,863.6516633
Canning Town,Star Lane,126,21125,1052,866.9991916
Star Lane,Canning Town,69,438,15428,866.9991916
King's Cross St. Pancras,Russell Square,171,28307,5172,870.5007047
Russell Square,King's Cross St. Pancras,62,1509,33330,870.5007047
Oxford Circus,Tottenham Court Road,9,2784,19126,874.3023056
Tottenham Court Road,Oxford Circus,11,1773,44368,874.3023056
Fairlop,Hainault,2,995,356,878.6835661
Hainault,Fairlop,11,3117,182,878.6835661
Canada Water,Wapping,296,27026,1066,885.8108434
Wapping,Canada Water,486,1251,20443,885.8108434
Ruislip Gardens,South Ruislip,26,965,289,885.8857262
South Ruislip,Ruislip Gardens,17,1398,167,885.8857262
Bank and Monument,London Bridge,362,29494,29930,886.7283711
London Bridge,Bank and Monument,445,32597,78549,886.7283711
Prince Regent,Royal Albert,8,936,684,888.4204825
Royal Albert,Prince Regent,2,650,754,888.4204825
Barons Court,Hammersmith,143,4052,18250,893.8320859
Hammersmith,Barons Court,66,11818,2956,893.8320859
Camden Road,Kentish Town West,2,1207,1128,898.2449446
Kentish Town West,Camden Road,3,712,3784,898.2449446
Canary Wharf,Westferry,26,14632,1250,904.200224
Westferry,Canary Wharf,25,2205,58772,904.200224
Blackfriars,Cannon Street,422,6781,4698,908.4430023
Cannon Street,Blackfriars,216,3874,10849,908.4430023
Earl's Court,Gloucester Road,54,8414,5194,910.1212138
Gloucester Road,Earl's Court,19,4779,6613,910.1212138
Holland Park,Shepherd's Bush,12,1542,9890,911.6794213
Shepherd's Bush,Holland Park,38,10511,2063,911.6794213
Embankment,Piccadilly Circus,23,4081,13641,912.1392602
Piccadilly Circus,Embankment,7,1037,10220,912.1392602
Kennington,Oval,3,3583,2544,915.1576843
Oval,Kennington,1,3619,1161,915.1576843
Ealing Common,North Ealing,9,2003,332,924.4084541
North Ealing,Ealing Common,4,505,915,924.4084541
Hackney Downs,London Fields,7,843,790,926.0127118
London Fields,Hackney Downs,8,1090,835,926.0127118
Plaistow,West Ham,199,3634,5487,929.8354936
West Ham,Plaistow,44,8879,1049,929.8354936
Turnpike Lane,Wood Green,16,6690,2146,930.8256254
Wood Green,Turnpike Lane,14,6667,992,930.8256254
Boston Manor,Northfields,3,1181,864,930.8521452
Northfields,Boston Manor,14,2952,892,930.8521452
Paddington,Warwick Avenue,40,23381,1174,932.6259398
Warwick Avenue,Paddington,73,2388,20198,932.6259398
North Wembley,South Kenton,43,1087,261,935.7451701
South Kenton,North Wembley,18,1073,365,935.7451701
Paddington,Royal Oak,36,23381,856,937.2965127
Royal Oak,Paddington,33,1409,20198,937.2965127
Gospel Oak,Hampstead Heath,13,1085,2792,938.560601
Hampstead Heath,Gospel Oak,5,915,2025,938.560601
Heron Quays,Poplar,4,1788,1301,939.6787775
Poplar,Heron Quays,22,2271,5975,939.6787775
Fulham Broadway,West Brompton,77,3289,5859,942.7618764
West Brompton,Fulham Broadway,224,3831,4200,942.7618764
Earl's Court,West Kensington,19,8414,1345,944.0652943
West Kensington,Earl's Court,31,2715,6613,944.0652943
West Finchley,Woodside Park,24,1550,745,946.4743469
Woodside Park,West Finchley,14,3093,91,946.4743469
Chiswick Park,Turnham Green,1,1283,1515,950.372981
Turnham Green,Chiswick Park,2,3650,1517,950.372981
Maryland,Stratford,329,878,55954,951.3047206
Stratford,Maryland,115,59311,350,951.3047206
Covent Garden,Tottenham Court Road,0,424,19126,951.4716696
Tottenham Court Road,Covent Garden,1,1773,4355,951.4716696
Clapham North,Stockwell,4,2846,1623,952.3018788
Stockwell,Clapham North,5,10667,1238,952.3018788
Piccadilly Circus,Tottenham Court Road,1,1037,19126,960.6317763
Tottenham Court Road,Piccadilly Circus,3,1773,13641,960.6317763
High Street Kensington,Notting Hill Gate,14,2159,5490,960.645535
Notting Hill Gate,High Street Kensington,25,4945,5427,960.645535
Aldgate East,Whitechapel,81,3172,17633,963.3340688
Whitechapel,Aldgate East,611,12281,7932,963.3340688
Oxford Circus,Piccadilly Circus,9,2784,13641,963.8300744
Piccadilly Circus,Oxford Circus,9,1037,44368,963.8300744
Goldhawk Road,Wood Lane,11,1347,1578,965.5523777
Wood Lane,Goldhawk Road,8,1088,370,965.5523777
Aldgate East,Liverpool Street,47,3172,61122,965.8659667
Liverpool Street,Aldgate East,150,31473,7932,965.8659667
Hounslow East,Osterley,18,2173,521,967.4946724
Osterley,Hounslow East,21,1421,843,967.4946724
Royal Oak,Westbourne Park,3,1409,1347,969.404246
Westbourne Park,Royal Oak,4,2416,856,969.404246
St. John's Wood,Swiss Cottage,25,3240,2598,969.9402928
Swiss Cottage,St. John's Wood,44,3531,3982,969.9402928
St James Street,Walthamstow Central,51,1048,5271,970.7099872
Walthamstow Central,St James Street,14,17499,184,970.7099872
Limehouse,Westferry,82,5348,1250,973.6170071
Westferry,Limehouse,42,2205,2969,973.6170071
Balham,Tooting Bec,63,9619,1239,975.1654216
Tooting Bec,Balham,309,6734,3814,975.1654216
Kilburn High Road,South Hampstead,4,345,236,976.3553885
South Hampstead,Kilburn High Road,2,248,266,976.3553885
Oxford Circus,Regent's Park,3,2784,3364,978.050628
Regent's Park,Oxford Circus,6,371,44368,978.050628
Cambridge Heath,London Fields,0,328,790,979.416986
London Fields,Cambridge Heath,1,1090,458,979.416986
Canonbury,Highbury & Islington,547,2410,25385,981.1097681
Highbury & Islington,Canonbury,158,23714,846,981.1097681
Goodmayes,Seven Kings,13,3119,559,983.7481715
Seven Kings,Goodmayes,4,3300,683,983.7481715
Blackwall,West India Quay,2,952,400,983.8211313
West India Quay,Blackwall,0,162,665,983.8211313
Rotherhithe,Surrey Quays,1,1589,1005,984.7707124
Surrey Quays,Rotherhithe,3,3443,321,984.7707124
Bermondsey,Canada Water,215,5102,20443,989.5169206
Canada Water,Bermondsey,171,27026,3172,989.5169206
Canning Town,Royal Victoria,416,21125,763,989.5890743
Royal Victoria,Canning Town,810,2057,15428,989.5890743
Archway,Tufnell Park,4,5642,557,993.5361119
Tufnell Park,Archway,8,2742,2193,993.5361119
Camden Town,Chalk Farm,10,3330,1329,993.777147
Chalk Farm,Camden Town,17,2391,6348,993.777147
Parsons Green,Putney Bridge,12,4361,2494,994.4623493
Putney Bridge,Parsons Green,17,2950,2711,994.4623493
Elephant & Castle,Lambeth North,9,9325,1319,995.7202823
Lambeth North,Elephant & Castle,5,1114,6427,995.7202823
Holborn,Leicester Square,11,1662,8847,998.4718704
Leicester Square,Holborn,14,985,22346,998.4718704
Kensington,Shepherd's Bush,44,432,9890,998.7301385
Shepherd's Bush,Kensington,123,10511,2252,998.7301385
Brondesbury Park,Kensal Rise,8,691,1376,1002.535434
Kensal Rise,Brondesbury Park,9,1941,895,1002.535434
Canary Wharf,South Quay,264,14632,4591,1003.213836
South Quay,Canary Wharf,58,1677,58772,1003.213836
Gloucester Road,High Street Kensington,34,4779,5427,1005.118786
High Street Kensington,Gloucester Road,14,2159,5194,1005.118786
Goldhawk Road,Hammersmith,48,1347,18250,1005.589335
Hammersmith,Goldhawk Road,44,11818,370,1005.589335
Bow Church,Pudding Mill Lane,31,1663,431,1008.294293
Pudding Mill Lane,Bow Church,10,432,925,1008.294293
Bow Road,Bromley-by-Bow,44,4005,1613,1008.769909
Bromley-by-Bow,Bow Road,24,2555,1193,1008.769909
Green Park,Oxford Circus,37,2066,44368,1010.566475
Oxford Circus,Green Park,28,2784,26754,1010.566475
All Saints,West India Quay,11,740,400,1012.844517
West India Quay,All Saints,2,162,444,1012.844517
Kilburn,West Hampstead,278,4630,5856,1015.621607
West Hampstead,Kilburn,399,10371,1953,1015.621607
Gunnersbury,South Acton,14,2274,975,1016.83938
South Acton,Gunnersbury,16,644,4775,1016.83938
Crossharbour,Island Gardens,35,1724,691,1019.82081
Island Gardens,Crossharbour,18,1413,1208,1019.82081
Acton Town,Ealing Common,13,3745,915,1026.622829
Ealing Common,Acton Town,20,2003,2202,1026.622829
King George V,London City Airport,10,969,1941,1028.576891
London City Airport,King George V,15,2026,800,1028.576891
Mile End,Stepney Green,8,7145,1879,1029.272377
Stepney Green,Mile End,8,2731,3759,1029.272377
Baker Street,Edgware Road,11,7444,6868,1034.840367
Edgware Road,Baker Street,29,2841,14973,1034.840367
Hackney Central,Homerton,23,3370,1998,1035.615547
Homerton,Hackney Central,39,3501,2440,1035.615547
Belsize Park,Chalk Farm,2,2744,1329,1038.100939
Chalk Farm,Belsize Park,4,2391,2255,1038.100939
Euston Square,King's Cross St. Pancras,34,4926,33330,1039.47868
King's Cross St. Pancras,Euston Square,145,28307,8093,1039.47868
Charing Cross,Tottenham Court Road,443,6491,19126,1048.015187
Tottenham Court Road,Charing Cross,32,1773,7016,1048.015187
East Putney,Putney Bridge,31,5448,2494,1058.56559
Putney Bridge,East Putney,18,2950,1877,1058.56559
Mudchute,South Quay,22,1355,4591,1063.117305
South Quay,Mudchute,10,1677,302,1063.117305
Kilburn High Road,Queen's Park,6,345,2167,1064.503149
Queen's Park,Kilburn High Road,5,5249,266,1064.503149
Tooting Bec,Tooting Broadway,91,6734,4506,1074.961442
Tooting Broadway,Tooting Bec,54,9546,1239,1074.961442
Hoxton,Shoreditch High Street,3,1041,7558,1075.252398
Shoreditch High Street,Hoxton,4,930,2181,1075.252398
Colliers Wood,South Wimbledon,63,5553,1361,1078.468136
South Wimbledon,Colliers Wood,17,3783,865,1078.468136
Euston,Goodge Street,88,17796,6457,1078.774211
Goodge Street,Euston,6,366,16800,1078.774211
Latimer Road,Shepherd's Bush Market,11,861,416,1080.125031
Shepherd's Bush Market,Latimer Road,38,1798,1109,1080.125031
Stepney Green,Whitechapel,233,2731,17633,1080.164183
Whitechapel,Stepney Green,289,12281,1879,1080.164183
Gospel Oak,Kentish Town West,1,1085,1128,1091.159427
Kentish Town West,Gospel Oak,107,712,2025,1091.159427
Charing Cross,Westminster,3,6491,15466,1094.095364
Westminster,Charing Cross,0,1519,7016,1094.095364
Shadwell,Whitechapel,318,6741,17633,1094.343866
Whitechapel,Shadwell,276,12281,7447,1094.343866
Chancery Lane,St. Paul's,18,1148,13446,1095.151197
St. Paul's,Chancery Lane,15,878,15391,1095.151197
London Bridge,Southwark,416,32597,10326,1098.349085
Southwark,London Bridge,214,4882,29930,1098.349085
North Ealing,Park Royal,1,505,1552,1099.658451
Park Royal,North Ealing,5,559,332,1099.658451
Cannon Street,Moorgate,8,3874,24574,1106.142178
Moorgate,Cannon Street,4,4416,4698,1106.142178
Grange Hill,Hainault,1,654,356,1107.64861
Hainault,Grange Hill,4,3117,76,1107.64861
Charing Cross,Waterloo,93,6491,23466,1109.759153
Waterloo,Charing Cross,606,67372,7016,1109.759153
East India,Poplar,19,1760,1301,1114.265763
Poplar,East India,16,2271,1522,1114.265763
Finsbury Park,Manor House,22,24735,1311,1116.113627
Manor House,Finsbury Park,96,5459,6769,1116.113627
Hillingdon,Ickenham,11,1337,282,1124.437195
Ickenham,Hillingdon,17,737,318,1124.437195
Seven Sisters,Stamford Hill,20,18780,352,1125.083405
Stamford Hill,Seven Sisters,38,491,10191,1125.083405
Eastcote,Ruislip Manor,14,2525,408,1126.239052
Ruislip Manor,Eastcote,12,1399,364,1126.239052
Barkingside,Newbury Park,15,1301,559,1130.554422
Newbury Park,Barkingside,30,4212,262,1130.554422
Peckham Rye,Queens Road Peckham,16,2407,747,1130.560878
Queens Road Peckham,Peckham Rye,10,1932,1070,1130.560878
Prince Regent,Royal Victoria,7,936,763,1130.830267
Royal Victoria,Prince Regent,2,2057,754,1130.830267
Brent Cross,Hendon Central,10,1494,1878,1133.607342
Hendon Central,Brent Cross,11,4059,450,1133.607342
Charing Cross,Temple,1,6491,6780,1134.924823
Temple,Charing Cross,0,349,7016,1134.924823
Pudding Mill Lane,Stratford,249,432,55954,1137.033257
Stratford,Pudding Mill Lane,222,59311,431,1137.033257
London City Airport,Pontoon Dock,13,2026,1123,1141.35003
Pontoon Dock,London City Airport,22,2012,1941,1141.35003
Barbican,Liverpool Street,90,1239,61122,1141.375815
Liverpool Street,Barbican,1047,31473,9134,1141.375815
Harlesden,Willesden Junction,224,1500,4165,1144.233192
Willesden Junction,Harlesden,149,5266,1668,1144.233192
Headstone Lane,Hatch End,0,469,93,1146.149842
Bond Street,Green Park,23,2038,26754,1148.912313
Green Park,Bond Street,25,2066,20967,1148.912313
Oxford Circus,Warren Street,17,2784,17309,1149.714446
Warren Street,Oxford Circus,42,1913,44368,1149.714446
